Row,Column,Value
ARE,F1980,0.372
ARE,F1981,0.225
ARE,F1982,-0.325
ARE,F1983,-0.697
ARE,F1984,-0.187
ARE,F1985,0.138
ARE,F1986,0.191
ARE,F1987,0.162
ARE,F1988,0.191
ARE,F1989,-0.31
ARE,F1990,0.241
ARE,F1991,-0.282
ARE,F1992,-0.667
ARE,F1993,-0.038
ARE,F1994,0.381
ARE,F1995,-0.198
ARE,F1996,0.306
ARE,F1997,-0.342
ARE,F1998,0.968
ARE,F1999,1.293
ARE,F2000,0.681
ARE,F2001,0.56
ARE,F2002,1.123
ARE,F2003,1.052
ARE,F2004,1.052
ARE,F2005,0.725
ARE,F2006,1.255
ARE,F2007,0.802
ARE,F2008,0.777
ARE,F2009,0.896
ARE,F2010,1.482
ARE,F2011,1.121
ARE,F2012,1.086
ARE,F2013,0.739
ARE,F2014,0.909
ARE,F2015,1.556
ARE,F2016,1.059
ARE,F2017,1.632
ARE,F2018,1.498
ARE,F2019,1.204
ARE,F2020,1.21
ARE,F2021,1.699
ARE,F2022,1.482
ARG,F1961,0.122
ARG,F1962,-0.046
ARG,F1963,0.162
ARG,F1964,-0.343
ARG,F1965,0.09
ARG,F1966,-0.163
ARG,F1967,0
ARG,F1968,0.472
ARG,F1969,0.292
ARG,F1970,0.438
ARG,F1971,-0.26
ARG,F1972,-0.008
ARG,F1973,-0.139
ARG,F1974,-0.106
ARG,F1975,-0.021
ARG,F1976,-0.321
ARG,F1977,0.432
ARG,F1978,0.362
ARG,F1979,0.266
ARG,F1980,0.373
ARG,F1981,0.378
ARG,F1982,0.359
ARG,F1983,0.046
ARG,F1984,-0.1
ARG,F1985,0.308
ARG,F1986,0.46
ARG,F1987,0.446
ARG,F1988,-0.192
ARG,F1989,0.611
ARG,F1990,0.436
ARG,F1991,0.261
ARG,F1992,-0.261
ARG,F1993,0.086
ARG,F1994,0.487
ARG,F1995,0.259
ARG,F1996,0.512
ARG,F1997,0.759
ARG,F1998,0.351
ARG,F1999,0.16
ARG,F2000,-0.186
ARG,F2001,0.425
ARG,F2002,0.278
ARG,F2003,0.635
ARG,F2004,0.47
ARG,F2005,0.281
ARG,F2006,0.596
ARG,F2007,-0.169
ARG,F2008,0.601
ARG,F2009,0.857
ARG,F2010,0.135
ARG,F2011,0.386
ARG,F2012,0.798
ARG,F2013,0.442
ARG,F2014,0.951
ARG,F2015,0.957
ARG,F2016,0.488
ARG,F2017,1.095
ARG,F2018,0.878
ARG,F2019,0.76
ARG,F2020,1.123
ARG,F2021,1.031
ARG,F2022,0.643
ARM,F1961,
ARM,F1962,
ARM,F1963,
ARM,F1964,
ARM,F1965,
ARM,F1966,
ARM,F1967,
ARM,F1968,
ARM,F1969,
ARM,F1970,
ARM,F1971,
ARM,F1972,
ARM,F1973,
ARM,F1974,
ARM,F1975,
ARM,F1976,
ARM,F1977,
ARM,F1978,
ARM,F1979,
ARM,F1980,
ARM,F1981,
ARM,F1982,
ARM,F1983,
ARM,F1984,
ARM,F1985,
ARM,F1986,
ARM,F1987,
ARM,F1988,
ARM,F1989,
ARM,F1990,
ARM,F1991,
ARM,F1992,-1.31
ARM,F1993,-0.932
ARM,F1994,0.481
ARM,F1995,0.697
ARM,F1996,0.47
ARM,F1997,0.599
ARM,F1998,1.316
ARM,F1999,1.488
ARM,F2000,1.031
ARM,F2001,1.395
ARM,F2002,1.194
ARM,F2003,0.141
ARM,F2004,1.162
ARM,F2005,0.48
ARM,F2006,1.621
ARM,F2007,0.706
ARM,F2008,0.861
ARM,F2009,0.706
ARM,F2010,2.775
ARM,F2011,0.65
ARM,F2012,1.247
ARM,F2013,1.407
ARM,F2014,1.283
ARM,F2015,1.931
ARM,F2016,1.356
ARM,F2017,0.889
ARM,F2018,2.772
ARM,F2019,1.859
ARM,F2020,1.954
ARM,F2021,2.087
ARM,F2022,1.707
ASM,F1961,0.079
ASM,F1962,-0.042
ASM,F1963,0.169
ASM,F1964,-0.14
ASM,F1965,-0.562
ASM,F1966,0.181
ASM,F1967,-0.368
ASM,F1968,-0.187
ASM,F1969,0.132
ASM,F1970,-0.047
ASM,F1971,-0.477
ASM,F1972,-0.067
ASM,F1973,0.33
ASM,F1974,-0.308
ASM,F1975,-0.118
ASM,F1976,-0.177
ASM,F1977,0.156
ASM,F1978,0.092
ASM,F1979,0.341
ASM,F1980,0.35
ASM,F1981,0.179
ASM,F1982,0.28
ASM,F1983,0.313
ASM,F1984,0.277
ASM,F1985,0.256
ASM,F1986,0.394
ASM,F1987,0.354
ASM,F1988,0.509
ASM,F1989,0.143
ASM,F1990,0.497
ASM,F1991,0.641
ASM,F1992,0.344
ASM,F1993,-0.069
ASM,F1994,0.189
ASM,F1995,0.755
ASM,F1996,0.784
ASM,F1997,
ASM,F1998,
ASM,F1999,0.242
ASM,F2000,0.626
ASM,F2001,0.904
ASM,F2002,1.152
ASM,F2003,0.716
ASM,F2004,0.191
ASM,F2005,0.801
ASM,F2006,0.403
ASM,F2007,1.032
ASM,F2008,0.67
ASM,F2009,
ASM,F2010,1.311
ASM,F2011,0.854
ASM,F2012,0.924
ASM,F2013,1.257
ASM,F2014,1.17
ASM,F2015,1.009
ASM,F2016,1.539
ASM,F2017,1.435
ASM,F2018,1.189
ASM,F2019,1.539
ASM,F2020,1.43
ASM,F2021,1.268
ASM,F2022,1.256
ATG,F1961,0.09
ATG,F1962,0.031
ATG,F1963,0.288
ATG,F1964,0.214
ATG,F1965,-0.385
ATG,F1966,0.097
ATG,F1967,-0.192
ATG,F1968,-0.225
ATG,F1969,0.271
ATG,F1970,0.109
ATG,F1971,-0.233
ATG,F1972,-0.214
ATG,F1973,0.164
ATG,F1974,-0.377
ATG,F1975,-0.419
ATG,F1976,-0.467
ATG,F1977,0.076
ATG,F1978,0.161
ATG,F1979,0.16
ATG,F1980,0.646
ATG,F1981,0.564
ATG,F1982,0.162
ATG,F1983,0.489
ATG,F1984,0.009
ATG,F1985,-0.051
ATG,F1986,-0.023
ATG,F1987,0.649
ATG,F1988,0.395
ATG,F1989,-0.077
ATG,F1990,0.417
ATG,F1991,0.459
ATG,F1992,0.445
ATG,F1993,0.528
ATG,F1994,0.493
ATG,F1995,0.677
ATG,F1996,0.377
ATG,F1997,0.455
ATG,F1998,1.046
ATG,F1999,0.541
ATG,F2000,0.335
ATG,F2001,
ATG,F2002,0.634
ATG,F2003,0.783
ATG,F2004,0.501
ATG,F2005,0.843
ATG,F2006,0.659
ATG,F2007,0.934
ATG,F2008,0.394
ATG,F2009,0.498
ATG,F2010,1.153
ATG,F2011,0.586
ATG,F2012,0.696
ATG,F2013,0.783
ATG,F2014,0.744
ATG,F2015,1.035
ATG,F2016,1.097
ATG,F2017,0.958
ATG,F2018,0.627
ATG,F2019,0.797
ATG,F2020,1.131
ATG,F2021,0.862
ATG,F2022,0.77
AUS,F1961,0.157
AUS,F1962,0.126
AUS,F1963,-0.096
AUS,F1964,-0.012
AUS,F1965,0.14
AUS,F1966,-0.23
AUS,F1967,-0.093
AUS,F1968,-0.203
AUS,F1969,0.103
AUS,F1970,-0.007
AUS,F1971,-0.044
AUS,F1972,0.091
AUS,F1973,0.831
AUS,F1974,-0.354
AUS,F1975,0.048
AUS,F1976,-0.522
AUS,F1977,0.176
AUS,F1978,0.062
AUS,F1979,0.375
AUS,F1980,0.887
AUS,F1981,0.495
AUS,F1982,0.186
AUS,F1983,0.633
AUS,F1984,-0.157
AUS,F1985,0.349
AUS,F1986,0.388
AUS,F1987,0.363
AUS,F1988,0.96
AUS,F1989,0.153
AUS,F1990,0.549
AUS,F1991,0.82
AUS,F1992,0.281
AUS,F1993,0.484
AUS,F1994,0.221
AUS,F1995,0.413
AUS,F1996,0.604
AUS,F1997,0.383
AUS,F1998,1.092
AUS,F1999,0.58
AUS,F2000,0.148
AUS,F2001,0.336
AUS,F2002,0.736
AUS,F2003,0.835
AUS,F2004,0.723
AUS,F2005,1.211
AUS,F2006,0.721
AUS,F2007,0.929
AUS,F2008,0.625
AUS,F2009,1.03
AUS,F2010,0.673
AUS,F2011,0.208
AUS,F2012,0.308
AUS,F2013,1.499
AUS,F2014,1.198
AUS,F2015,1.087
AUS,F2016,1.172
AUS,F2017,1.141
AUS,F2018,1.129
AUS,F2019,1.422
AUS,F2020,1.416
AUS,F2021,0.629
AUS,F2022,0.754
AUT,F1961,1.031
AUT,F1962,-0.621
AUT,F1963,-0.727
AUT,F1964,-0.371
AUT,F1965,-0.883
AUT,F1966,0.602
AUT,F1967,0.676
AUT,F1968,0.211
AUT,F1969,-0.126
AUT,F1970,-0.55
AUT,F1971,-0.06
AUT,F1972,0.103
AUT,F1973,-0.033
AUT,F1974,0.314
AUT,F1975,0.86
AUT,F1976,0.216
AUT,F1977,0.499
AUT,F1978,-0.476
AUT,F1979,-0.112
AUT,F1980,-0.274
AUT,F1981,0.277
AUT,F1982,0.384
AUT,F1983,1.062
AUT,F1984,-0.249
AUT,F1985,-0.568
AUT,F1986,0.319
AUT,F1987,-0.263
AUT,F1988,0.82
AUT,F1989,1.104
AUT,F1990,1.262
AUT,F1991,0.125
AUT,F1992,1.248
AUT,F1993,0.527
AUT,F1994,1.958
AUT,F1995,0.939
AUT,F1996,-0.203
AUT,F1997,0.514
AUT,F1998,1.343
AUT,F1999,0.986
AUT,F2000,1.769
AUT,F2001,1.501
AUT,F2002,1.531
AUT,F2003,1.464
AUT,F2004,0.829
AUT,F2005,0.628
AUT,F2006,0.907
AUT,F2007,2.137
AUT,F2008,1.582
AUT,F2009,1.544
AUT,F2010,0.656
AUT,F2011,1.373
AUT,F2012,1.783
AUT,F2013,1.098
AUT,F2014,2.409
AUT,F2015,2.167
AUT,F2016,2.096
AUT,F2017,1.741
AUT,F2018,2.524
AUT,F2019,2.37
AUT,F2020,2.315
AUT,F2021,1.395
AUT,F2022,2.498
AZE,F1961,
AZE,F1962,
AZE,F1963,
AZE,F1964,
AZE,F1965,
AZE,F1966,
AZE,F1967,
AZE,F1968,
AZE,F1969,
AZE,F1970,
AZE,F1971,
AZE,F1972,
AZE,F1973,
AZE,F1974,
AZE,F1975,
AZE,F1976,
AZE,F1977,
AZE,F1978,
AZE,F1979,
AZE,F1980,
AZE,F1981,
AZE,F1982,
AZE,F1983,
AZE,F1984,
AZE,F1985,
AZE,F1986,
AZE,F1987,
AZE,F1988,
AZE,F1989,
AZE,F1990,
AZE,F1991,
AZE,F1992,-0.839
AZE,F1993,-1.009
AZE,F1994,0.098
AZE,F1995,1.012
AZE,F1996,0.244
AZE,F1997,0.582
AZE,F1998,1.184
AZE,F1999,1.224
AZE,F2000,1.098
AZE,F2001,1.401
AZE,F2002,1.432
AZE,F2003,-0.147
AZE,F2004,1.303
AZE,F2005,0.814
AZE,F2006,1.488
AZE,F2007,0.958
AZE,F2008,0.883
AZE,F2009,0.78
AZE,F2010,2.327
AZE,F2011,0.766
AZE,F2012,1.474
AZE,F2013,1.574
AZE,F2014,1.252
AZE,F2015,1.672
AZE,F2016,1.53
AZE,F2017,1.308
AZE,F2018,2.24
AZE,F2019,1.997
AZE,F2020,2.015
AZE,F2021,2.061
AZE,F2022,2.08
BDI,F1961,0.022
BDI,F1962,-0.502
BDI,F1963,-0.007
BDI,F1964,-0.18
BDI,F1965,-0.265
BDI,F1966,0.009
BDI,F1967,-0.252
BDI,F1968,-0.272
BDI,F1969,0.156
BDI,F1970,0.278
BDI,F1971,-0.292
BDI,F1972,0.147
BDI,F1973,0.581
BDI,F1974,0.179
BDI,F1975,
BDI,F1976,
BDI,F1977,
BDI,F1978,
BDI,F1979,
BDI,F1980,
BDI,F1981,
BDI,F1982,0.437
BDI,F1983,0.636
BDI,F1984,
BDI,F1985,
BDI,F1986,0.51
BDI,F1987,0.614
BDI,F1988,0.286
BDI,F1989,0.02
BDI,F1990,0.279
BDI,F1991,-0.096
BDI,F1992,0.004
BDI,F1993,
BDI,F1994,
BDI,F1995,
BDI,F1996,
BDI,F1997,
BDI,F1998,0.545
BDI,F1999,
BDI,F2000,
BDI,F2001,0.459
BDI,F2002,0.887
BDI,F2003,1.032
BDI,F2004,1.122
BDI,F2005,
BDI,F2006,
BDI,F2007,1.242
BDI,F2008,
BDI,F2009,
BDI,F2010,
BDI,F2011,
BDI,F2012,
BDI,F2013,
BDI,F2014,
BDI,F2015,
BDI,F2016,
BDI,F2017,
BDI,F2018,
BDI,F2019,
BDI,F2020,
BDI,F2021,
BDI,F2022,
BEL,F1961,
BEL,F1962,
BEL,F1963,
BEL,F1964,
BEL,F1965,
BEL,F1966,
BEL,F1967,
BEL,F1968,
BEL,F1969,
BEL,F1970,
BEL,F1971,
BEL,F1972,
BEL,F1973,
BEL,F1974,
BEL,F1975,
BEL,F1976,
BEL,F1977,
BEL,F1978,
BEL,F1979,
BEL,F1980,
BEL,F1981,
BEL,F1982,
BEL,F1983,
BEL,F1984,
BEL,F1985,
BEL,F1986,
BEL,F1987,
BEL,F1988,
BEL,F1989,
BEL,F1990,
BEL,F1991,
BEL,F1992,
